"date","state","city","place_type","confirmed","deaths","is_last","estimated_population_2019","city_ibge_code","confirmed_per_100k_inhabitants","death_rate"
2020-02-27,NA,NA,NA,0,0,NA,NA,"29",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"31",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"32",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"33",0,0
2020-02-27,"SP","","state",1,0,"False",45919049,"35",0.00218,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"41",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"42",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"43",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"50",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"51",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"52",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"53",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"11",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"12",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"13",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"14",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"15",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"16",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"17",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"21",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"22",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"23",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"24",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"25",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"26",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"27",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"28",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"29",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"31",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"32",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"33",0,0
2020-02-28,"SP","","state",2,0,"False",45919049,"35",0.00436,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"41",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"42",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"43",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"50",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"51",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"52",0,0
2020-02-28,NA,NA,NA,0,0,NA,NA,"53",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"11",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"12",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"13",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"14",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"15",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"16",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"17",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"21",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"22",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"23",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"24",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"25",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"26",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"27",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"28",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"29",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"31",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"32",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"33",0,0
2020-02-29,"SP","","state",2,0,"False",45919049,"35",0.00436,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"41",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"42",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"43",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"50",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"51",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"52",0,0
2020-02-29,NA,NA,NA,0,0,NA,NA,"53",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"11",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"12",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"13",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"14",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"15",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"16",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"17",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"21",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"22",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"23",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"24",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"25",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"26",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"27",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"28",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"29",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"31",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"32",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"33",0,0
2020-03-01,"SP","","state",2,0,"False",45919049,"35",0.00436,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"41",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"42",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"43",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"50",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"51",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"52",0,0
2020-03-01,NA,NA,NA,0,0,NA,NA,"53",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"11",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"12",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"13",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"14",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"15",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"16",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"17",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"21",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"22",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"23",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"24",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"25",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"26",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"27",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"28",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"29",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"31",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"32",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"33",0,0
2020-03-02,"SP","","state",2,0,"False",45919049,"35",0.00436,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"41",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"42",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"43",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"50",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"51",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"52",0,0
2020-03-02,NA,NA,NA,0,0,NA,NA,"53",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"11",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"12",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"13",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"14",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"15",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"16",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"17",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"21",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"22",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"23",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"24",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"25",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"26",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"27",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"28",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"29",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"31",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"32",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"33",0,0
2020-03-03,"SP","","state",2,0,"False",45919049,"35",0.00436,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"41",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"42",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"43",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"50",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"51",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"52",0,0
2020-03-03,NA,NA,NA,0,0,NA,NA,"53",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"11",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"12",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"13",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"14",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"15",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"16",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"17",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"21",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"22",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"23",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"24",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"25",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"26",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"27",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"28",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"29",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"31",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"32",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"33",0,0
2020-03-04,"SP","","state",3,0,"False",45919049,"35",0.00653,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"41",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"42",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"43",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"50",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"51",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"52",0,0
2020-03-04,NA,NA,NA,0,0,NA,NA,"53",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"11",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"12",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"13",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"14",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"15",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"16",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"17",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"21",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"22",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"23",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"24",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"25",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"26",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"27",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"28",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"29",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"31",0,0
2020-03-05,"ES","","state",1,0,"False",4018650,"32",0.02488,0
2020-03-05,"RJ","","state",1,0,"False",17264943,"33",0.00579,0
2020-03-05,"SP","","state",6,0,"False",45919049,"35",0.01307,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"41",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"42",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"43",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"50",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"51",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"52",0,0
2020-03-05,NA,NA,NA,0,0,NA,NA,"53",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"11",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"12",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"13",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"14",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"15",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"16",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"17",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"21",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"22",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"23",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"24",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"25",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"26",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"27",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"28",0,0
2020-03-06,"BA","","state",1,0,"False",14873064,"29",0.00672,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"31",0,0
2020-03-06,"ES","","state",1,0,"False",4018650,"32",0.02488,0
2020-03-06,"RJ","","state",2,0,"False",17264943,"33",0.01158,0
2020-03-06,"SP","","state",10,0,"False",45919049,"35",0.02178,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"41",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"42",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"43",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"50",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"51",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"52",0,0
2020-03-06,NA,NA,NA,0,0,NA,NA,"53",0,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"11",0,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"12",0,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"13",0,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"14",0,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"15",0,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"16",0,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"17",0,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"21",0,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"22",0,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"23",0,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"24",0,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"25",0,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"26",0,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"27",0,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"28",0,0
2020-03-07,"BA","","state",2,0,"False",14873064,"29",0.01345,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"31",0,0
2020-03-07,"ES","","state",1,0,"False",4018650,"32",0.02488,0
2020-03-07,NA,NA,NA,2,0,NA,NA,"33",0.01158,0
2020-03-07,"SP","","state",13,0,"False",45919049,"35",0.02831,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"41",0,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"42",0,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"43",0,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"50",0,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"51",0,0
2020-03-07,NA,NA,NA,0,0,NA,NA,"52",0,0
2020-03-07,"DF","","state",1,0,"False",3015268,"53",0.03316,0
2020-03-08,NA,NA,NA,0,0,NA,NA,"11",0,0
2020-03-08,NA,NA,NA,0,0,NA,NA,"12",0,0
2020-03-08,NA,NA,NA,0,0,NA,NA,"13",0,0
2020-03-08,NA,NA,NA,0,0,NA,NA,"14",0,0
2020-03-08,NA,NA,NA,0,0,NA,NA,"15",0,0
2020-03-08,NA,NA,NA,0,0,NA,NA,"16",0,0
2020-03-08,NA,NA,NA,0,0,NA,NA,"17",0,0
2020-03-08,NA,NA,NA,0,0,NA,NA,"21",0,0
2020-03-08,NA,NA,NA,0,0,NA,NA,"22",0,0
2020-03-08,NA,NA,NA,0,0,NA,NA,"23",0,0
2020-03-08,NA,NA,NA,0,0,NA,NA,"24",0,0
2020-03-08,NA,NA,NA,0,0,NA,NA,"25",0,0
2020-03-08,NA,NA,NA,0,0,NA,NA,"26",0,0
2020-03-08,"AL","","state",1,0,"False",3337357,"27",0.02996,0
2020-03-08,NA,NA,NA,0,0,NA,NA,"28",0,0
2020-03-08,NA,NA,NA,2,0,NA,NA,"29",0.01345,0
2020-03-08,"MG","","state",1,0,"False",21168791,"31",0.00472,0
2020-03-08,"ES","","state",1,0,"False",4018650,"32",0.02488,0
2020-03-08,"RJ","","state",3,0,"False",17264943,"33",0.01738,0
2020-03-08,"SP","","state",16,0,"False",45919049,"35",0.03484,0
2020-03-08,NA,NA,NA,0,0,NA,NA,"41",0,0
2020-03-08,NA,NA,NA,0,0,NA,NA,"42",0,0
2020-03-08,NA,NA,NA,0,0,NA,NA,"43",0,0
2020-03-08,NA,NA,NA,0,0,NA,NA,"50",0,0
2020-03-08,NA,NA,NA,0,0,NA,NA,"51",0,0
2020-03-08,NA,NA,NA,0,0,NA,NA,"52",0,0
2020-03-08,"DF","","state",1,0,"False",3015268,"53",0.03316,0
2020-03-09,NA,NA,NA,0,0,NA,NA,"11",0,0
2020-03-09,NA,NA,NA,0,0,NA,NA,"12",0,0
2020-03-09,NA,NA,NA,0,0,NA,NA,"13",0,0
2020-03-09,NA,NA,NA,0,0,NA,NA,"14",0,0
2020-03-09,NA,NA,NA,0,0,NA,NA,"15",0,0
2020-03-09,NA,NA,NA,0,0,NA,NA,"16",0,0
2020-03-09,NA,NA,NA,0,0,NA,NA,"17",0,0
2020-03-09,NA,NA,NA,0,0,NA,NA,"21",0,0
2020-03-09,NA,NA,NA,0,0,NA,NA,"22",0,0
2020-03-09,NA,NA,NA,0,0,NA,NA,"23",0,0
2020-03-09,NA,NA,NA,0,0,NA,NA,"24",0,0
2020-03-09,NA,NA,NA,0,0,NA,NA,"25",0,0
2020-03-09,NA,NA,NA,0,0,NA,NA,"26",0,0
2020-03-09,"AL","","state",1,0,"False",3337357,"27",0.02996,0
2020-03-09,NA,NA,NA,0,0,NA,NA,"28",0,0
2020-03-09,"BA","","state",2,0,"False",14873064,"29",0.01345,0
2020-03-09,"MG","","state",1,0,"False",21168791,"31",0.00472,0
2020-03-09,"ES","","state",1,0,"False",4018650,"32",0.02488,0
2020-03-09,NA,NA,NA,3,0,NA,NA,"33",0.01738,0
2020-03-09,"SP","","state",16,0,"False",45919049,"35",0.03484,0
2020-03-09,NA,NA,NA,0,0,NA,NA,"41",0,0
2020-03-09,NA,NA,NA,0,0,NA,NA,"42",0,0
2020-03-09,NA,NA,NA,0,0,NA,NA,"43",0,0
2020-03-09,NA,NA,NA,0,0,NA,NA,"50",0,0
2020-03-09,NA,NA,NA,0,0,NA,NA,"51",0,0
2020-03-09,NA,NA,NA,0,0,NA,NA,"52",0,0
2020-03-09,"DF","","state",1,0,"False",3015268,"53",0.03316,0
2020-03-10,NA,NA,NA,0,0,NA,NA,"11",0,0
2020-03-10,NA,NA,NA,0,0,NA,NA,"12",0,0
2020-03-10,NA,NA,NA,0,0,NA,NA,"13",0,0
2020-03-10,NA,NA,NA,0,0,NA,NA,"14",0,0
2020-03-10,NA,NA,NA,0,0,NA,NA,"15",0,0
2020-03-10,NA,NA,NA,0,0,NA,NA,"16",0,0
2020-03-10,NA,NA,NA,0,0,NA,NA,"17",0,0
2020-03-10,NA,NA,NA,0,0,NA,NA,"21",0,0
2020-03-10,NA,NA,NA,0,0,NA,NA,"22",0,0
2020-03-10,NA,NA,NA,0,0,NA,NA,"23",0,0
2020-03-10,NA,NA,NA,0,0,NA,NA,"24",0,0
2020-03-10,NA,NA,NA,0,0,NA,NA,"25",0,0
2020-03-10,NA,NA,NA,0,0,NA,NA,"26",0,0
2020-03-10,"AL","","state",1,0,"False",3337357,"27",0.02996,0
2020-03-10,NA,NA,NA,0,0,NA,NA,"28",0,0
2020-03-10,"BA","","state",2,0,"False",14873064,"29",0.01345,0
2020-03-10,"MG","","state",1,0,"False",21168791,"31",0.00472,0
2020-03-10,"ES","","state",1,0,"False",4018650,"32",0.02488,0
2020-03-10,NA,NA,NA,3,0,NA,NA,"33",0.01738,0
2020-03-10,"SP","","state",19,0,"False",45919049,"35",0.04138,0
2020-03-10,NA,NA,NA,0,0,NA,NA,"41",0,0
2020-03-10,NA,NA,NA,0,0,NA,NA,"42",0,0
2020-03-10,"RS","","state",1,0,"False",11377239,"43",0.00879,0
2020-03-10,NA,NA,NA,0,0,NA,NA,"50",0,0
2020-03-10,NA,NA,NA,0,0,NA,NA,"51",0,0
2020-03-10,NA,NA,NA,0,0,NA,NA,"52",0,0
2020-03-10,"DF","","state",1,0,"False",3015268,"53",0.03316,0
2020-03-11,NA,NA,NA,0,0,NA,NA,"11",0,0
2020-03-11,NA,NA,NA,0,0,NA,NA,"12",0,0
2020-03-11,NA,NA,NA,0,0,NA,NA,"13",0,0
2020-03-11,NA,NA,NA,0,0,NA,NA,"14",0,0
2020-03-11,NA,NA,NA,0,0,NA,NA,"15",0,0
2020-03-11,NA,NA,NA,0,0,NA,NA,"16",0,0
2020-03-11,NA,NA,NA,0,0,NA,NA,"17",0,0
2020-03-11,NA,NA,NA,0,0,NA,NA,"21",0,0
2020-03-11,NA,NA,NA,0,0,NA,NA,"22",0,0
2020-03-11,NA,NA,NA,0,0,NA,NA,"23",0,0
2020-03-11,NA,NA,NA,0,0,NA,NA,"24",0,0
2020-03-11,NA,NA,NA,0,0,NA,NA,"25",0,0
2020-03-11,NA,NA,NA,0,0,NA,NA,"26",0,0
2020-03-11,NA,NA,NA,1,0,NA,NA,"27",0.02996,0
2020-03-11,NA,NA,NA,0,0,NA,NA,"28",0,0
2020-03-11,"BA","","state",3,0,"False",14873064,"29",0.02017,0
2020-03-11,"MG","","state",1,0,"False",21168791,"31",0.00472,0
2020-03-11,"ES","","state",1,0,"False",4018650,"32",0.02488,0
2020-03-11,NA,NA,NA,3,0,NA,NA,"33",0.01738,0
2020-03-11,"SP","","state",30,0,"False",45919049,"35",0.06533,0
2020-03-11,NA,NA,NA,0,0,NA,NA,"41",0,0
2020-03-11,NA,NA,NA,0,0,NA,NA,"42",0,0
2020-03-11,"RS","","state",2,0,"False",11377239,"43",0.01758,0
2020-03-11,NA,NA,NA,0,0,NA,NA,"50",0,0
2020-03-11,NA,NA,NA,0,0,NA,NA,"51",0,0
2020-03-11,NA,NA,NA,0,0,NA,NA,"52",0,0
2020-03-11,"DF","","state",2,0,"False",3015268,"53",0.06633,0
2020-03-12,NA,NA,NA,0,0,NA,NA,"11",0,0
2020-03-12,NA,NA,NA,0,0,NA,NA,"12",0,0
2020-03-12,NA,NA,NA,0,0,NA,NA,"13",0,0
2020-03-12,NA,NA,NA,0,0,NA,NA,"14",0,0
2020-03-12,NA,NA,NA,0,0,NA,NA,"15",0,0
2020-03-12,NA,NA,NA,0,0,NA,NA,"16",0,0
2020-03-12,NA,NA,NA,0,0,NA,NA,"17",0,0
2020-03-12,NA,NA,NA,0,0,NA,NA,"21",0,0
2020-03-12,NA,NA,NA,0,0,NA,NA,"22",0,0
2020-03-12,NA,NA,NA,0,0,NA,NA,"23",0,0
2020-03-12,"RN","","state",1,0,"False",3506853,"24",0.02852,0
2020-03-12,"PB","","state",0,0,"False",4018127,"25",0,0
